"","Date","Index","Close"
"19878",2016-09-28,"Dow Jones",18339.24023
"19879",2016-09-28,"DAX",10438.33984
"19880",2016-09-28,"Nikkei",16465.40039
"19881",2016-09-29,"S&P 500",2151.129883
"19882",2016-09-29,"Dow Jones",18143.44922
"19883",2016-09-29,"DAX",10405.54004
"19884",2016-09-29,"Nikkei",16693.71094
"19885",2016-09-30,"S&P 500",2168.27002
"19886",2016-09-30,"Dow Jones",18308.15039
"19887",2016-09-30,"DAX",10511.01953
"19888",2016-09-30,"Nikkei",16449.83984
"19889",2016-10-03,"S&P 500",2161.199951
"19890",2016-10-03,"Dow Jones",18253.84961
"19891",2016-10-03,"DAX",NA
"19892",2016-10-03,"Nikkei",16598.66992
"19893",2016-10-04,"S&P 500",2150.48999
"19894",2016-10-04,"Dow Jones",18168.44922
"19895",2016-10-04,"DAX",10619.61035
"19896",2016-10-04,"Nikkei",16735.65039
"19897",2016-10-05,"S&P 500",2159.72998
"19898",2016-10-05,"Dow Jones",18281.0293
"19899",2016-10-05,"DAX",10585.78027
"19900",2016-10-05,"Nikkei",16819.24023
"19901",2016-10-06,"S&P 500",2160.77002
"19902",2016-10-06,"Dow Jones",18268.5
"19903",2016-10-06,"DAX",10568.7998
"19904",2016-10-06,"Nikkei",16899.09961
"19905",2016-10-07,"S&P 500",2153.73999
"19906",2016-10-07,"Dow Jones",18240.49023
"19907",2016-10-07,"DAX",10490.86035
"19908",2016-10-07,"Nikkei",16860.08984
"19909",2016-10-10,"S&P 500",2163.659912
"19910",2016-10-10,"Dow Jones",18329.03906
"19911",2016-10-10,"DAX",10624.08008
"19912",2016-10-10,"Nikkei",NA
"19913",2016-10-11,"S&P 500",2136.72998
"19914",2016-10-11,"Dow Jones",18128.66016
"19915",2016-10-11,"DAX",10577.16016
"19916",2016-10-11,"Nikkei",17024.75977
"19917",2016-10-12,"S&P 500",2139.179932
"19918",2016-10-12,"Dow Jones",18144.19922
"19919",2016-10-12,"DAX",10523.07031
"19920",2016-10-12,"Nikkei",16840
"19921",2016-10-13,"S&P 500",2132.550049
"19922",2016-10-13,"Dow Jones",18098.93945
"19923",2016-10-13,"DAX",10414.07031
"19924",2016-10-13,"Nikkei",16774.24023
"19925",2016-10-14,"S&P 500",2132.97998
"19926",2016-10-14,"Dow Jones",18138.38086
"19927",2016-10-14,"DAX",10580.37988
"19928",2016-10-14,"Nikkei",16856.36914
"19929",2016-10-17,"S&P 500",2126.5
"19930",2016-10-17,"Dow Jones",18086.40039
"19931",2016-10-17,"DAX",10503.57031
"19932",2016-10-17,"Nikkei",16900.11914
"19933",2016-10-18,"S&P 500",2139.600098
"19934",2016-10-18,"Dow Jones",18161.93945
"19935",2016-10-18,"DAX",10631.5498
"19936",2016-10-18,"Nikkei",16963.60938
"19937",2016-10-19,"S&P 500",2144.290039
"19938",2016-10-19,"Dow Jones",18202.61914
"19939",2016-10-19,"DAX",10645.67969
"19940",2016-10-19,"Nikkei",16998.91016
"19941",2016-10-20,"S&P 500",2141.340088
"19942",2016-10-20,"Dow Jones",18162.34961
"19943",2016-10-20,"DAX",10701.38965
"19944",2016-10-20,"Nikkei",17235.5
"19945",2016-10-21,"S&P 500",2141.159912
"19946",2016-10-21,"Dow Jones",18145.71094
"19947",2016-10-21,"DAX",10710.73047
"19948",2016-10-21,"Nikkei",17184.58984
"19949",2016-10-24,"S&P 500",2151.330078
"19950",2016-10-24,"Dow Jones",18223.0293
"19951",2016-10-24,"DAX",10761.16992
"19952",2016-10-24,"Nikkei",17234.41992
"19953",2016-10-25,"S&P 500",2143.159912
"19954",2016-10-25,"Dow Jones",18169.26953
"19955",2016-10-25,"DAX",10757.30957
"19956",2016-10-25,"Nikkei",17365.25
"19957",2016-10-26,"S&P 500",2139.429932
"19958",2016-10-26,"Dow Jones",18199.33008
"19959",2016-10-26,"DAX",10709.67969
"19960",2016-10-26,"Nikkei",17391.83984
"19961",2016-10-27,"S&P 500",2133.040039
"19962",2016-10-27,"Dow Jones",18169.67969
"19963",2016-10-27,"DAX",10717.08008
"19964",2016-10-27,"Nikkei",17336.41992
"19965",2016-10-28,"S&P 500",2126.409912
"19966",2016-10-28,"Dow Jones",18161.18945
"19967",2016-10-28,"DAX",10696.19043
"19968",2016-10-28,"Nikkei",17446.41016
"19969",2016-10-31,"S&P 500",2126.149902
"19970",2016-10-31,"Dow Jones",18142.41992
"19971",2016-10-31,"DAX",10665.00977
"19972",2016-10-31,"Nikkei",17425.01953
"19973",2016-11-01,"S&P 500",2111.719971
"19974",2016-11-01,"Dow Jones",18037.09961
"19975",2016-11-01,"DAX",10526.16016
"19976",2016-11-01,"Nikkei",17442.40039
"19977",2016-11-02,"S&P 500",2097.939941
"19978",2016-11-02,"Dow Jones",17959.64063
"19979",2016-11-02,"DAX",10370.92969
"19980",2016-11-02,"Nikkei",17134.67969
"19981",2016-11-03,"S&P 500",2088.659912
"19982",2016-11-03,"Dow Jones",17930.66992
"19983",2016-11-03,"DAX",10325.87988
"19984",2016-11-03,"Nikkei",NA
"19985",2016-11-04,"S&P 500",2085.179932
"19986",2016-11-04,"Dow Jones",17888.2793
"19987",2016-11-04,"DAX",10259.12988
"19988",2016-11-04,"Nikkei",16905.35938
"19989",2016-11-07,"S&P 500",2131.52002
"19990",2016-11-07,"Dow Jones",18259.59961
"19991",2016-11-07,"DAX",10456.9502
"19992",2016-11-07,"Nikkei",17177.21094
"19993",2016-11-08,"S&P 500",2139.560059
